Type,Type_specific,Species,Tag,Location of capture,d15N,d13C,percN,percC,Collector,Year collected,Yr_restore,Rest_age,Burn,Sex,Age,Repro,Weight_g,tl_mm,rhf_mm,bl_mm,month,day,Bison,C_N
Small mammal,,I.tri,1264,FC,4.38,-24.01,14,45.8,Sarah N,2018,2006.5,11.5,Burned,F,J,NA,121,87,34,120,7,25,No bison,3.271428571
Small mammal,Ground squirrel,I.tri,1414,MUR,2.98,-21.02,14.01,44.19,Kirstie,2016,C,50,Unburned,M,SA,NA,180,105,34,NA,6,12,Bison,3.154175589
Small mammal,Ground squirrel,I.tri,1440,CCW,2.97,-23.49,14.81,44.13,Kirstie,2017,2008,9,Unburned,M,A,NA,NA,102,35,NA,4,13,No bison,2.979743417
Small mammal,,I.tri,1555,HF,5.96,-23.25,12.79,43.84,Angelica B,2018,2013,5,Burned,F,J,NA,134,92,32,135,7,26,Bison,3.427677873
Small mammal,,P.man,2048,CCE,3.98,-21.48,12.97,45.56,Danielle D,2017,2007,10,Burned,M,SA,NA,33,57,18,55,6,16,No bison,3.512721665
Small mammal,,P.man,2071,SBEX1,3.84,-22.31,13.68,44.79,Danielle D,2018,2009,9,Unburned,F,A,PL,41,55,16,65,4,21,No bison,3.274122807
Small mammal,Mouse,R.meg,2082,TC,3.7,-20.36,12.75,48.27,Kirstie,2017,2002.5,14.5,Unburned,M,A,NA,24,68,15,49,8,3,No bison,3.785882353
Small mammal,,P.man,2098,HPN,5.76,-12.69,13.76,44.32,Angelica B,2017,2012,5,Burned,F,SA,NA,28.5,55,17,48,6,18,Bison,3.220930233
Small mammal,,P.man,2134,HF,5.07,-24.76,13.51,43.86,Danielle D,2017,2013,4,Burned,M,SA,NA,32.5,49,18,51,6,17,Bison,3.246484086
Small mammal,,P.leu,2150,SBEX2,5.41,-23.23,13.51,44.88,Danielle D,2017,2009,8,Unburned,F,A,PL,41,68,20,66,4,17,No bison,3.321983716
Small mammal,,P.man,2151,SB,6.03,-12.71,13.39,47.12,Danielle D,2017,2009,8,Unburned,F,A,P,25.5,48,16,56,4,17,No bison,3.519044063
Small mammal,,P.man,2157,AG,8.05,-12.74,13.26,46.36,Danielle D,2017,PC,0,Unburned,M,SA,NA,33,54,16,64,4,16,No bison,3.496229261
Small mammal,,P.man,2158,SB,5.36,-15.18,13.46,46.44,Danielle D,2017,2009,8,Unburned,F,A,NA,26,51,16,59,4,17,No bison,3.450222883
Small mammal,,P.man,2162,SBEX1,7.33,-11.53,13.39,46.05,Danielle D,2017,2009,8,Unburned,M,SA,NA,29,43.5,16,58,4,15,No bison,3.439133682
Small mammal,,P.man,2171,SBEX1,4.13,-20.79,13.59,46.2,Danielle D,2017,2009,8,Unburned,F,A,P,35,55,16.5,62,4,17,No bison,3.399558499
Small mammal,,M.och,2177,SBEX1,8.12,-24.93,14.05,44.29,Danielle D,2017,2009,8,Unburned,F,A,P,48,36,18,77,4,15,No bison,3.152313167
Small mammal,,M.och,2179,SBEX1,4.26,-25.95,11.32,42.1,Danielle D,2017,2009,8,Unburned,M,A,NA,57,48,20,82,4,16,No bison,3.719081272
Small mammal,Mouse,P.leu,2184,TCR,5.59,-24.3,13.96,45.07,Kirstie,2017,C,50,Unburned,M,A,NA,41,75.5,18,79,4,17,No bison,3.228510029
Small mammal,,P.leu,2186,TCEX,3.37,-23.73,13.07,46.44,Danielle D,2017,2002.5,14.5,Unburned,M,A,NA,38,70,19,64,4,16,No bison,3.55317521
Small mammal,,P.man,2191,SBEX1,4.15,-17.64,13.84,44.36,Danielle D,2017,2009,8,Unburned,F,A,PL,31,52,15,61,4,17,No bison,3.205202312
Small mammal,,P.man,2195,SBEX1,4.35,-19.15,13.64,46.13,Danielle D,2017,2009,8,Unburned,F,A,NA,29.5,44,15,56,4,17,No bison,3.381964809
Small mammal,,P.man,2197,TCEX,3.19,-20.68,12.66,46.85,Danielle D,2017,2002.5,14.5,Unburned,M,A,NA,36,51,16.5,63,4,16,No bison,3.700631912
Small mammal,,P.man,2199,AG,6.89,-10.38,13.52,46.13,Danielle D,2017,PC,0,Unburned,M,A,NA,36,51,15.5,58,4,16,No bison,3.411982249
Small mammal,,P.leu,2202,SBEX1,3.44,-20.34,12.91,45.78,Danielle D,2017,2009,8,Unburned,M,SA,NA,25,62,16.5,49,4,16,No bison,3.546088304
Small mammal,,P.leu,2207,TCR,3.63,-23.83,13.22,45.73,Danielle D,2017,C,50,Unburned,F,A,PL,44,73,19,74,6,10,No bison,3.459152799
Small mammal,,P.leu,2209,TCEX,7.45,-15.43,13.47,45.56,Danielle D,2017,2002.5,14.5,Unburned,M,A,NA,39,74.5,20,73,4,17,No bison,3.382331106
Small mammal,Vole,M.och,2220,SB,5.54,-18.56,12.54,46.9,Kirstie,2017,2009,8,Unburned,M,A,NA,53,41,17,84,4,15,No bison,3.740031898
Small mammal,,P.man,2221,TCEX,5.94,-14.49,13.55,47.47,Danielle D,2017,2009,8,Unburned,F,A,P,33,54,17,60,4,18,No bison,3.503321033
Small mammal,,P.man,2222,SBEX1,5.96,-15.18,14.97,50.44,Danielle D,2017,2009,8,Unburned,M,SA,NA,22,49,16,54,4,17,No bison,3.369405478
Small mammal,Mouse,R.meg,2223,TCR,3.78,-17.55,12.02,40.91,Kirstie,2017,C,50,Unburned,F,NA,NA,23,60.5,15,55,4,17,No bison,3.403494176
Small mammal,,P.man,2224,SBEX1,4.59,-21.55,13.03,45.11,Danielle D,2017,2009,8,Unburned,M,A,NA,33,55,16,67,4,15,No bison,3.462010744
Small mammal,,M.och,2225,TC,3.01,-22.72,11.61,44.28,Danielle D,2017,2002.5,14.5,Unburned,F,A,L,51,37,18,82.5,4,16,No bison,3.813953488
Small mammal,,P.man,2227,AG,6.03,-13.21,12.93,44.92,Danielle D,2017,PC,0,Unburned,M,A,NA,35.5,54,17,60,4,16,No bison,3.474091261
Small mammal,Mouse,P.leu,2230,SB,5.91,-18.38,13.71,45.34,Kirstie,2017,2009,8,Unburned,F,A,NA,39,62.5,NA,63,4,16,No bison,3.307075128
Small mammal,,P.man,2231,SB,7.02,-9.27,13.56,45.52,Danielle D,2017,2009,8,Unburned,F,A,P,30,47,15,58,4,17,No bison,3.356932153
Small mammal,,P.leu,2234,TCR,8.18,-11.52,13.23,44.3,Danielle D,2017,C,50,Unburned,F,A,P,27,65,18,56,6,10,No bison,3.348450491
Small mammal,Vole,M.och,2239,SBEX1,3.51,-26.03,13.09,45.76,Kirstie,2017,2009,8,Unburned,F,A,PL,58,34,19,94,4,15,No bison,3.495798319
Small mammal,Mouse,R.meg,2241,TCR,1.96,-12.21,13.24,46.29,Kirstie,2017,C,50,Unburned,M,SA,NA,22,61,15,51.5,4,17,No bison,3.496223565
Small mammal,Mouse,P.man,2242,SB,7.06,-11.53,13.44,47.59,Kirstie,2017,2009,8,Unburned,F,A,P,31,47,15,53,4,16,No bison,3.540922619
Small mammal,,M.och,2245,TCEX,4.09,-26.55,12.24,46.27,Danielle D,2017,2002.5,14.5,Unburned,F,A,NA,36,30,17,62,4,16,No bison,3.780228758
Small mammal,,M.och,2247,SBEX1,3.39,-26.43,11.95,46.81,Danielle D,2017,2009,8,Unburned,M,A,NA,48,5,16.5,70,4,16,No bison,3.917154812
Small mammal,,P.man,2248,CCEEX,4.17,-23.19,12.82,44.92,Danielle D,2017,2007,10,Unburned,F,A,L,34,54,16.5,53,4,14,No bison,3.503900156
Small mammal,,P.leu,2250,SBEX1,4.92,-13.85,13.48,45.22,Danielle D,2017,2009,8,Unburned,F,A,P,36,61,17,68.5,4,18,No bison,3.354599407
Small mammal,,P.man,2252,HPN,2.18,-12.77,13.27,44.99,Danielle D,2017,2012,5,Burned,M,A,NA,32,50,15,58.5,4,13,Bison,3.390354182
Small mammal,,M.och,2256,SB,3.46,-26.72,12.4,44.75,Danielle D,2017,2009,8,Unburned,F,SA,NA,27.5,25,15.5,61,4,18,No bison,3.608870968
Small mammal,,P.man,2258,HPW,6.63,-17.26,13.45,43.95,Danielle D,2018,2008,10,Burned,F,A,NA,31,52,22,56,4,13,Bison,3.267657993
Small mammal,,P.leu,2261,CCW,3.85,-14.8,13.1,45.67,Danielle D,2017,2008,9,Unburned,M,SA,NA,20,60,14,46,4,14,No bison,3.486259542
Small mammal,,P.leu,2263,SF,6.66,-13.62,12.64,45.1,Danielle D,2018,2001,17,Unburned,F,SA,NA,23,58,17,49,4,13,No bison,3.568037975
Small mammal,Mouse,P.leu,2266,SBEX2,9.61,-17.28,13.92,45.51,Kirstie,2017,2009,8,Unburned,F,A,P,41,79,20,65,4,15,No bison,3.269396552
Small mammal,,M.och,2270,HL,4.87,-22.33,13.11,43.7,Danielle D,2018,2001,17,Burned,F,A,NA,51,32,19,84,4,13,Bison,3.333333333
Small mammal,,P.man,2273,CCE,5.58,-17.17,13.31,45.17,Danielle D,2017,2007,10,Burned,F,A,PL,36,55,16,61,4,14,No bison,3.393688956
Small mammal,,P.man,2274,SBEX2,4,-23.51,13.45,45.59,Danielle D,2017,2009,8,Unburned,M,A,NA,35,44,15.5,62,4,15,No bison,3.389591078
Small mammal,,P.leu,2276,CCEEX,8.58,-12.4,13.3,45.8,Danielle D,2017,2007,10,Unburned,M,A,NA,37,63,16,64,4,13,No bison,3.443609023
Small mammal,,P.man,2287,CCEEX,6.21,-14.67,13.81,47.11,Danielle D,2017,2007,10,Unburned,F,SA,NA,31,30,15,54,4,13,No bison,3.411296162
Small mammal,,P.man,2289,AG,7.02,-10.89,12.61,42.28,Danielle D,2017,PC,0,Unburned,F,A,PL,39,46.5,16,64,4,17,No bison,3.352894528
Small mammal,,P.man,2291,HPN,5.64,-22.3,14.08,45.03,Sarah N,2018,2012,6,Unburned,M,SA,NA,27,56,18,53,7,25,Bison,3.198153409
Small mammal,,P.man,2298,HF,5.69,-24.99,13.15,44.11,Danielle D,2017,2013,4,Burned,F,A,PL,32.5,52,15,58.5,4,13,Bison,3.354372624
Small mammal,,P.man,2299,CCE,1.51,-19.71,13.09,44.32,Danielle D,2017,2007,10,Burned,M,A,P,35.5,56,16,55,4,13,No bison,3.38579068
Small mammal,,P.man,2302,CCEEX,3.74,-23.49,13.05,43.06,Danielle D,2017,2007,10,Unburned,M,A,NA,30,43,14,53,4,14,No bison,3.299616858
Small mammal,,P.man,2304,TCEX,5.73,-15.57,13.46,44.6,Danielle D,2017,2002.5,14.5,Unburned,M,A,NA,34,49,16.5,51,4,15,No bison,3.313521545
Small mammal,,,2306,,3.89,-19.69,13.35,44.05,Danielle D,2017,,,,,,,,,,,,,,
Small mammal,,P.man,2310,AG,8.95,-10.4,13.31,45.07,Danielle D,2017,PC,0,Unburned,M,A,NA,29,54,16.5,60,4,17,No bison,3.386175808
Small mammal,,P.leu,2313,HL,5.42,-22.87,14.27,44.96,Sarah N,2018,2001,17,Burned,M,A,NA,35.5,79,20,64,7,26,Bison,3.150665732
Small mammal,Vole,M.och,2316,HF,6.29,-29.03,13.41,47.89,Kirstie,2017,2013,4,Burned,M,SA,NA,27,20,15.5,54,4,14,Bison,3.571215511
Small mammal,,P.man,2317,HF,6.1,-23.09,13.34,44.05,Sarah N,2018,2013,5,Burned,M,A,NA,31.5,49,19,49,4,13,Bison,3.302098951
Small mammal,,P.man,2318,TCR,8.32,-11.45,13.91,47.17,Danielle D,2018,C,50,Burned,F,SA,NA,27,49,16,56,4,22,No bison,3.39108555
Small mammal,,P.leu,2320,CCW,7.72,-26.37,12.68,45.24,Danielle D,2017,2008,9,Unburned,M,SA,NA,23,63,17,45,4,11,No bison,3.567823344
Small mammal,,P.man,2321,FC,5.63,-23.73,13.64,45.22,Sarah N,2018,2006.5,11.5,Burned,F,A,L,36.5,63,16,62,6,9,No bison,3.315249267
Small mammal,,P.man,2325,AG,8.87,-13.5,13.15,44.92,Danielle D,2017,PC,0,Unburned,M,SA,NA,26,44,15,57,4,17,No bison,3.415969582
Small mammal,,P.leu,2327,TCEX,8.08,-16.43,13.38,45.45,Danielle D,2017,2002.5,14.5,Unburned,F,A,P,36,72,16,61,4,15,No bison,3.396860987
Small mammal,,P.man,2330,HPN,5.66,-23.7,13.36,44.61,Danielle D,2017,2012,5,Burned,F,A,PL,45,58,16,59,4,13,Bison,3.339071856
Small mammal,,P.leu,2332,TC,3.21,-16.45,12.6,46.24,Danielle D,2017,2002.5,14.5,Unburned,M,SA,NA,24.5,61,14,55.5,4,15,No bison,3.66984127
Small mammal,,P.man,2333,TC,6.41,-12.62,13.69,44.28,Danielle D,2017,2002.5,14.5,Unburned,M,SA,NA,31,50,15,59,4,15,No bison,3.234477721
Small mammal,,M.och,2339,L,5.67,-26.42,13.03,44.41,Danielle D,2018,2011,7,Unburned,F,A,NA,49,51,21,80,4,13,Bison,3.408288565
Small mammal,,P.man,2345,SB,3.82,-22.18,12.83,43.17,Danielle D,2017,2009,8,Unburned,M,A,NA,32.5,58,17,61,4,17,No bison,3.36477007
Small mammal,Mouse,P.man,2347,HF,6.31,-25.17,13.4,46.26,Kirstie,2017,2013,4,Burned,F,A,PL,37,48.5,15,52,4,13,Bison,3.452238806
Small mammal,,P.man,2351,CCW,4.4,-19.8,13.4,45.39,Angelica B,2019,2008,11,Unburned,M,A,NA,29,53,15,48,6,21,No bison,3.387313433
Small mammal,,P.leu,2352,MU,4.12,-24.38,13.57,45.11,Sarah N,2019,1986.5,32.5,Unburned,M,A,NA,37,75,18,63,8,14,Bison,3.324244657
Small mammal,,P.man,2354,CCWE,5.36,-23.44,13.73,45.78,Angelica B,2019,2008,11,Unburned,F,A,PL,27,54,14.5,50,6,20,No bison,3.334304443
Small mammal,,P.man,2357,TCR,6.29,-18.07,13.64,44.31,Sarah N,2019,C,50,Unburned,F,A,PL,43,60,17,62,8,15,No bison,3.248533724
Small mammal,,P.man,2359,SBEX1,6.24,-20.38,13.69,45.32,Angelica B,2019,2009,10,Burned,M,A,NA,26,48,16,58,6,19,No bison,3.310445581
Small mammal,,P.man,2360,MUR,,-22.42,11.9,42.44,Angelica B,2019,C,50,Burned,M,SA,NA,25,44,15,54,6,15,Bison,3.566386555
Small mammal,,P.leu,2362,TCR,5.26,-24.16,13.36,45.95,Angelica B,2019,C,50,Unburned,M,A,NA,27,67,19,47,6,16,No bison,3.439371257
Small mammal,,P.man,2363,SBEX2,3.51,-23.4,13.68,44.47,Danielle D,2016,2009,7,Unburned,M,SA,NA,32,52,18,49,10,7,No bison,3.250730994
Small mammal,,P.man,2365,CCEE,3.91,-19.86,12.44,45.61,Angelica B,2019,2007,12,Burned,F,A,PL,30,55,16,54,6,19,No bison,3.666398714
Small mammal,,P.man,2367,CCWE,5.07,-22.96,13.25,45.67,Angelica B,2019,2008,11,Unburned,F,A,PL,23,52,16,47,6,19,No bison,3.446792453
Small mammal,,P.man,2368,CCW,5.29,-23.28,13.48,45.07,Angelica B,2019,2008,11,Unburned,F,A,L,31,51,15,54,6,21,No bison,3.34347181
Small mammal,,P.man,2372,CCWE,5.48,-24.22,12.97,46.48,Angelica B,2019,2008,11,Unburned,F,A,NA,27,51,16,62,6,18,No bison,3.583654588
Small mammal,,P.man,2374,SF,6.34,-24.14,13.11,45.81,Angelica B,2019,2001,18,Burned,M,A,NA,28,61,16,53,6,13,No bison,3.494279176
Small mammal,,P.man,2375,HPN,4.24,-24.94,13.99,47.18,Sarah N,2019,2012,7,Unburned,F,A,NA,26,46.5,16,48,8,12,Bison,3.372408863
Small mammal,,P.man,2377,CCWE,6.04,-23.02,13.43,45.97,Angelica B,2019,2008,11,Unburned,M,SA,NA,23,49,15.5,47,6,20,No bison,3.42293373
Small mammal,,P.man,2378,CCW,4.75,-23.66,12.51,45.15,Angelica B,2019,2008,11,Unburned,F,A,PL,31,50.5,15,55,6,21,No bison,3.60911271
Small mammal,,P.leu,2380,WH,4.19,-22.93,12.76,43.75,Angelica B,2019,1992,27,Burned,F,A,NA,27,65,18,50,6,17,Bison,3.428683386
Small mammal,,P.man,2382,SB,3.97,-18.77,13.84,43.82,Danielle D,2016,2009,7,Burned,M,SA,NA,30,51,15.5,50,10,7,No bison,3.166184971
Small mammal,,P.man,2389,HPN,5.55,-24.73,13.71,46.12,Angelica B,2019,2012,7,Unburned,M,A,NA,24,47,15,49,6,12,Bison,3.363967907
Small mammal,,R.meg,2390,FC,6.26,-23.95,13.46,45.45,Sarah N,2019,2006.5,12.5,Unburned,F,A,L,18,63,14,40,8,16,No bison,3.333333333
Small mammal,,R.meg,2390,FC,7.22,-20.9,13.5,45,Sarah N,2019,2006.5,12.5,Unburned,F,A,L,18,63,14,40,8,16,No bison,3.37667162
Small mammal,,P.man,2393,FC,0.45,-11.73,12.64,44.34,Angelica B,2019,2006.5,12.5,Unburned,M,SA,NA,20.5,61,18,49,6,17,No bison,3.507911392
Small mammal,,P.man,2396,SB,7.54,-18.69,13.68,45.4,Angelica B,2019,2009,10,Burned,F,A,L,26,50,15,60,6,20,No bison,3.31871345
Small mammal,,P.leu,2397,L,5.43,-21.18,13.4,44.86,Danielle D,2017,2011,6,Burned,M,A,NA,35,67,19,56,4,10,Bison,3.347761194
Small mammal,,P.man,2402,CCW,4.18,-19.85,13.33,45.23,Angelica B,2019,2008,11,Unburned,M,A,NA,29,54,15,53,6,21,No bison,3.393098275
Small mammal,,P.man,2405,CCW,5.78,-20.28,13.55,45.38,Angelica B,2019,2008,11,Unburned,F,A,PL,32,50,14,52,6,21,No bison,3.349077491
Small mammal,Mouse,Z.hud,2406,WH,0.95,-20.5,13.52,49.01,Kirstie,2016,1992,24,Unburned,F,J,NA,30,101,29,55,9,29,Bison,3.625
Small mammal,,P.man,2412,SBEX2,4.35,-18.8,12.17,45.48,Angelica B,2019,2009,10,Burned,M,A,NA,26,51,17,64,6,18,No bison,3.73705834
Small mammal,,P.man,2417,CCEE,5.47,-22.81,13.39,45.84,Angelica B,2019,2007,12,Burned,M,A,NA,27,46,15.5,50,6,21,No bison,3.423450336
Small mammal,,P.man,2419,TCE,5.28,-13.96,12.92,44.7,Angelica B,2019,2002.5,16.5,Unburned,M,A,NA,30,46,15,51.5,6,16,No bison,3.459752322
Small mammal,,P.man,2425,SBEX1,6.17,-17.68,13.49,46.01,Angelica B,2019,2009,10,Burned,M,SA,NA,20,39,16,49,6,19,No bison,3.410674574
Small mammal,,P.man,2426,TC,6.85,-19.73,12.99,43.42,Sarah N,2019,2002.5,16.5,Unburned,F,A,P,30.5,54,16,48,8,17,No bison,3.342571209
